Consolidated Code,Fund Code,Fund Name,Fund Ccy,CnPtf Manager,Operation Type,Deal Description,N Entry Ptf,N Entry,Security Mvt Status Code,CNId,Wkn Code,ISIN Code,Sec Name,GTI Code,Investment Ccy,Maturity Date,Contract Number,Trade Date,Value Date,Nav Date,Quantity,Price Local Ccy,Price Ptf Ccy,Fees Local Ccy,Purch Amount local Ccy Gross,Interests Purchased Local Ccy,Purch Amount Local Ccy Net,Purch Amount Fund Currency net,Sales Amount local Currency gross,Interest Sold Local Ccy,Sales Amount Local Ccy Net,Sales Amount Fund Ccy net,Total Gain or Loss,Security Accounting Entry Number,v_Xchge_Rate
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 97.00 99.45 MC-CORMICK&CO/N.VOTING LU1734,2558,357,20,950544000000,858250,US5797802064,MC-CORMICK&CO/N.VOTING,100,USD,99991231,-1,20170503,20170508,20170504,97.000000,99.450000,91.170000,,9646.65,0.00,9646.65,8843.65,0.00,0.00,0.00,0.00,0.00,357,0.91358
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 69.00 125.38 PRAXAIR LU1734,2559,358,20,963739000000,884364,US74005P1049,PRAXAIR,100,USD,99991231,-1,20170503,20170508,20170504,69.000000,125.380000,114.940000,,8651.22,0.00,8651.22,7931.08,0.00,0.00,0.00,0.00,0.00,358,0.91358
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 1.063.00 26 RIOCAN REAL ESTATE INVESTMENT LU1734,2560,359,20,102166000000,902914,CA7669101031,RIOCAN REAL ESTATE INVESTMENT,117,CAD,99991231,-1,20170503,20170508,20170504,1063.000000,26.000000,17.390000,,27638.00,0.00,27638.00,18484.32,0.00,0.00,0.00,0.00,0.00,359,0.66585
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 99.00 127.08 WASTE CONNECTIONS INC LU1734,2682,360,30,250682000000,A2AKQ7,CA94106B1013,WASTE CONNECTIONS INC,100,CAD,99991231,-1,20170503,20170508,20170508,-99.000000,127.080000,84.990000,,-12580.92,0.00,-12580.92,-8414.13,0.00,0.00,0.00,0.00,0.00,360,0.66738
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 99.00 127.08 WASTE CONNECTIONS INC LU1734,2561,360,20,250682000000,A2AKQ7,CA94106B1013,WASTE CONNECTIONS INC,100,CAD,99991231,-1,20170503,20170508,20170504,99.000000,127.080000,84.990000,,12580.92,0.00,12580.92,8414.13,0.00,0.00,0.00,0.00,0.00,360,0.66585
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 267.00 43.01 KESKO OYJ /-B- LU1734,2562,361,20,5988000000,884884,FI0009000202,KESKO OYJ /-B-,100,EUR,99991231,-1,20170503,20170505,20170504,267.000000,43.010000,43.010000,,11483.67,0.00,11483.67,11483.67,0.00,0.00,0.00,0.00,0.00,361,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 603.00 18.2892 RED ELECTRICA CORPORACION. SA LU1734,2563,362,20,257843000000,A2ANA3,ES0173093024,RED ELECTRICA CORPORACION. SA,100,EUR,99991231,-1,20170503,20170505,20170504,603.000000,18.289204,18.289204,,11028.39,0.00,11028.39,11028.39,0.00,0.00,0.00,0.00,0.00,362,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 123.00 97.4394 MAN SE LU1734,2564,363,20,4267000000,593700,DE0005937007,MAN SE,100,EUR,99991231,-1,20170503,20170505,20170504,123.000000,97.439431,97.439431,,11985.05,0.00,11985.05,11985.05,0.00,0.00,0.00,0.00,0.00,363,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 888.00 15.4209 UNIPER SE LU1734,2565,364,20,274865000000,UNSE01,DE000UNSE018,UNIPER SE,100,EUR,99991231,-1,20170503,20170505,20170504,888.000000,15.420901,15.420901,,13693.76,0.00,13693.76,13693.76,0.00,0.00,0.00,0.00,0.00,364,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 1.697.00 66.4 RANDGOLD RESOURCES LTD LU1734,2566,365,20,158877000000,A0B5ZS,GB00B01C3S32,RANDGOLD RESOURCES LTD,100,GBP,99991231,-1,20170503,20170505,20170504,1697.000000,66.400000,78.510000,,112680.80,0.00,112680.80,133237.72,0.00,0.00,0.00,0.00,0.00,365,1.17993
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 100.00 87.48 SANOFI LU1734,2570,368,20,21917000000,920657,FR0000120578,SANOFI,100,EUR,99991231,-1,20170503,20170505,20170504,100.000000,87.480000,87.480000,,8748.00,0.00,8748.00,8748.00,0.00,0.00,0.00,0.00,0.00,368,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 29.00 447.5897 HERMES INTERNATIONAL LU1734,2573,369,20,2697000000,886670,FR0000052292,HERMES INTERNATIONAL,100,EUR,99991231,-1,20170503,20170505,20170504,29.000000,447.589655,447.589655,,12980.10,0.00,12980.10,12980.10,0.00,0.00,0.00,0.00,0.00,369,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 30.000.00 4.41 SINOPEC SHANGHAI PETROCHEM.-H- LU1734,2607,370,20,97248000000,A0M4Y5,CNE1000004C8,SINOPEC SHANGHAI PETROCHEM.-H-,100,HKD,99991231,-1,20170504,20170508,20170505,30000.000000,4.410000,0.520000,,132300.00,0.00,132300.00,15532.02,0.00,0.00,0.00,0.00,0.00,370,0.11693
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 10.000.00 10.6 CSPC PHARMACEUT --- SHS LU1734,2609,371,20,99915000000,548183,HK1093012172,CSPC PHARMACEUT --- SHS,100,HKD,99991231,-1,20170504,20170508,20170505,10000.000000,10.600000,1.240000,,106000.00,0.00,106000.00,12444.40,0.00,0.00,0.00,0.00,0.00,371,0.11693
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 100.00 247.6 TENCENT HOLDINGS LTD LU1734,2610,372,20,842268000000,A1138D,KYG875721634,TENCENT HOLDINGS LTD,100,HKD,99991231,-1,20170504,20170508,20170505,100.000000,247.600000,29.070000,,24760.00,0.00,24760.00,2906.82,0.00,0.00,0.00,0.00,0.00,372,0.11693
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 2.000.00 82.85 CHINA MOBILE LTD LU1734,2613,373,20,44626000000,909622,HK0941009539,CHINA MOBILE LTD,100,HKD,99991231,-1,20170504,20170508,20170505,2000.000000,82.850000,9.730000,,165700.00,0.00,165700.00,19453.17,0.00,0.00,0.00,0.00,0.00,373,0.11693
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 99.00 127.08 WASTE CONNECTIONS INC LU1734,2665,374,20,250682000000,A2AKQ7,CA94106B1013,WASTE CONNECTIONS INC,100,CAD,99991231,-1,20170503,20170508,20170508,99.000000,127.080000,84.990000,,12580.92,0.00,12580.92,8414.13,0.00,0.00,0.00,0.00,0.00,374,0.66738
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 27.200.00 7.45 SINGAPORE EXCHANGE LTD LU1734,2683,375,20,51437000000,590379,SG1J26887955,SINGAPORE EXCHANGE LTD,100,SGD,99991231,-1,20170504,20170509,20170508,27200.000000,7.450000,4.860000,,202640.00,0.00,202640.00,132129.76,0.00,0.00,0.00,0.00,0.00,375,0.65116
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 800.00 3970 NOMURA RESEARCH INST LTD LU1734,2703,376,20,69500000000,630026,JP3762800005,NOMURA RESEARCH INST LTD,100,JPY,99991231,-1,20170508,20170511,20170510,800.000000,3970.000000,32.200000,,3176000.00,0.00,3176000.00,25762.47,0.00,0.00,0.00,0.00,0.00,376,0.00807
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 500.00 5800 RECRUIT HOLDINGS CO.LTD. LU1734,2704,377,20,882915000000,A12BJJ,JP3970300004,RECRUIT HOLDINGS CO.LTD.,100,JPY,99991231,-1,20170508,20170511,20170510,500.000000,5800.000000,47.050000,,2900000.00,0.00,2900000.00,23523.66,0.00,0.00,0.00,0.00,0.00,377,0.00807
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 3.000.00 563 TOBU RAILWAY CO.LTD LU1734,2705,378,20,763649000000,860384,JP3597800006,TOBU RAILWAY CO.LTD,100,JPY,99991231,-1,20170508,20170511,20170510,3000.000000,563.000000,4.570000,,1689000.00,0.00,1689000.00,13700.51,0.00,0.00,0.00,0.00,0.00,378,0.00807
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 6.400.00 475 YAHOO JAPAN CORP TOKYO LU1734,2706,379,20,35434000000,916008,JP3933800009,YAHOO JAPAN CORP TOKYO,100,JPY,99991231,-1,20170508,20170511,20170510,6400.000000,475.000000,3.850000,,3040000.00,0.00,3040000.00,24659.29,0.00,0.00,0.00,0.00,0.00,379,0.00807
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 9.000.00 332.5 ANA HOLDINGS INC LU1734,2707,380,20,761485000000,861920,JP3429800000,ANA HOLDINGS INC,100,JPY,99991231,-1,20170508,20170511,20170510,9000.000000,332.500000,2.700000,,2992500.00,0.00,2992500.00,24273.99,0.00,0.00,0.00,0.00,0.00,380,0.00807
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 5.199.00 0 RIGHT BUWOG AG LU1734,2771,383,30,217003000000,A2DRYM,AT0000A1W4R3,RIGHT BUWOG AG,120,EUR,99991231,-1,20170516,20170518,20170516,5199.000000,0.000000,0.000000,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 5.199.00 0 RIGHT BUWOG AG LU1734,2777,383,30,217003000000,A2DRYM,AT0000A1W4R3,RIGHT BUWOG AG,120,EUR,99991231,-1,20170516,20170518,20170516,-5199.000000,0.000000,0.000000,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 5.199.00 0 RIGHT BUWOG AG LU1734,2778,384,30,217003000000,A2DRYM,AT0000A1W4R3,RIGHT BUWOG AG,120,EUR,99991231,-1,20170516,20170518,20170516,5199.000000,0.000000,0.000000,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 5.199.00 0 RIGHT BUWOG AG LU1734,2779,384,30,217003000000,A2DRYM,AT0000A1W4R3,RIGHT BUWOG AG,120,EUR,99991231,-1,20170516,20170518,20170516,-5199.000000,0.000000,0.000000,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 61.00 131.61 WASTE CONNECTIONS INC LU1734,2956,385,20,250682000000,A2AKQ7,CA94106B1013,WASTE CONNECTIONS INC,100,CAD,99991231,-1,20170602,20170607,20170602,61.000000,131.610000,86.370000,,8028.21,0.00,8028.21,5268.49,0.00,0.00,0.00,0.00,0.00,385,0.65625
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 749.00 25.52 RIOCAN REAL ESTATE INVESTMENT LU1734,2957,386,20,102166000000,902914,CA7669101031,RIOCAN REAL ESTATE INVESTMENT,117,CAD,99991231,-1,20170602,20170607,20170602,749.000000,25.520000,16.750000,,19114.48,0.00,19114.48,12543.83,0.00,0.00,0.00,0.00,0.00,386,0.65625
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 682.00 23.7712 HYDRO ONE LTD LU1734,2958,387,20,981975000000,A143AD,CA4488112083,HYDRO ONE LTD,100,CAD,99991231,-1,20170602,20170607,20170602,682.000000,23.771202,15.600000,,16211.96,0.00,16211.96,10639.06,0.00,0.00,0.00,0.00,0.00,387,0.65625
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 24.00 455.7 GEBERIT AG/NAMEN-AKTIEN LU1734,2959,388,20,539601000000,A0MQWG,CH0030170408,GEBERIT AG/NAMEN-AKTIEN,100,CHF,99991231,-1,20170602,20170607,20170602,24.000000,455.700000,419.330000,,10936.80,0.00,10936.80,10063.85,0.00,0.00,0.00,0.00,0.00,388,0.92018
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 36.00 158.1 KUEHNE +NAGEL INTERNATIONAL LU1734,2960,389,20,511596000000,A0JLZL,CH0025238863,KUEHNE +NAGEL INTERNATIONAL,100,CHF,99991231,-1,20170602,20170607,20170602,36.000000,158.100000,145.480000,,5691.60,0.00,5691.60,5237.31,0.00,0.00,0.00,0.00,0.00,389,0.92018
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 20.00 599.5 PARTNERS GROUP HOLDING LU1734,2961,390,20,508920000000,A0JJY6,CH0024608827,PARTNERS GROUP HOLDING,100,CHF,99991231,-1,20170602,20170607,20170602,20.000000,599.500000,551.650000,,11990.00,0.00,11990.00,11032.99,0.00,0.00,0.00,0.00,0.00,390,0.92018
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 33.00 265.8 ROCHE HOLDING AG /GENUSSSCHEIN LU1734,2962,391,20,59177000000,855167,CH0012032048,ROCHE HOLDING AG /GENUSSSCHEIN,100,CHF,99991231,-1,20170602,20170607,20170602,33.000000,265.800000,244.580000,,8771.40,0.00,8771.40,8071.29,0.00,0.00,0.00,0.00,0.00,391,0.92018
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 262.00 25.895 BUWOG AG LU1734,2963,392,20,834420000000,A1XDYU,AT00BUWOG001,BUWOG AG,100,EUR,99991231,-1,20170602,20170607,20170602,262.000000,25.895000,25.895000,,6784.49,0.00,6784.49,6784.49,0.00,0.00,0.00,0.00,0.00,392,1.00000
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 296.00 28.05 ARCONIC INC LU1734,2964,393,20,284643000000,A2ATUW,US03965L1008,ARCONIC INC,100,USD,99991231,-1,20170602,20170607,20170602,296.000000,28.050000,24.880000,,8302.80,0.00,8302.80,7363.90,0.00,0.00,0.00,0.00,0.00,393,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 231.00 46.59 VERIZON COMMUNICATIONS INC LU1734,2965,394,20,44752000000,868402,US92343V1044,VERIZON COMMUNICATIONS INC,100,USD,99991231,-1,20170602,20170607,20170602,231.000000,46.590000,41.320000,,10762.29,0.00,10762.29,9545.27,0.00,0.00,0.00,0.00,0.00,394,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 52.00 129 JOHNSON & JOHNSON LU1734,2966,395,20,943981000000,853260,US4781601046,JOHNSON & JOHNSON,100,USD,99991231,-1,20170602,20170607,20170602,52.000000,129.000000,114.410000,,6708.00,0.00,6708.00,5949.45,0.00,0.00,0.00,0.00,0.00,395,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 121.00 153 IBM LU1734,2967,396,20,941800000000,851399,US4592001014,IBM,100,USD,99991231,-1,20170602,20170607,20170602,121.000000,153.000000,135.700000,,18513.00,0.00,18513.00,16419.51,0.00,0.00,0.00,0.00,0.00,396,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 701.00 12.03 ANNALY CAPITAL MANAGEMENT INC LU1734,2968,397,20,59448000000,909823,US0357104092,ANNALY CAPITAL MANAGEMENT INC,118,USD,99991231,-1,20170602,20170607,20170602,701.000000,12.030000,10.670000,,8433.03,0.00,8433.03,7479.41,0.00,0.00,0.00,0.00,0.00,397,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 5.956.00 175.2838 WILLIAM DEMANT HOLDING A/S LU1734,2969,398,20,248605000000,A2AKB9,DK0060738599,WILLIAM DEMANT HOLDING A/S,100,DKK,99991231,-1,20170602,20170607,20170602,5956.000000,175.283800,23.560000,,1043990.31,0.00,1043990.31,140333.59,0.00,0.00,0.00,0.00,0.00,398,0.13442
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 206.00 23.715 DIAGEO PLC LU1734,2970,399,20,837159000000,851247,GB0002374006,DIAGEO PLC,100,GBP,99991231,-1,20170602,20170606,20170602,206.000000,23.715000,27.100000,,4885.29,0.00,4885.29,5581.80,0.00,0.00,0.00,0.00,0.00,399,1.14257
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 33.00 205 3M CO LU1734,2971,400,20,77146000000,851745,US88579Y1010,3M CO,100,USD,99991231,-1,20170602,20170607,20170602,33.000000,205.000000,181.820000,,6765.00,0.00,6765.00,6000.00,0.00,0.00,0.00,0.00,0.00,400,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 338.00 67.63 C.H.ROBINSON WORLDWIDE INC LU1734,2972,401,20,173246000000,A0HGF5,US12541W2098,C.H.ROBINSON WORLDWIDE INC,100,USD,99991231,-1,20170602,20170607,20170602,338.000000,67.630000,59.980000,,22858.94,0.00,22858.94,20274.00,0.00,0.00,0.00,0.00,0.00,401,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 227.00 54.36 EXPEDITORS INTL WASH. LU1734,2973,402,20,929057000000,875272,US3021301094,EXPEDITORS INTL WASH.,100,USD,99991231,-1,20170602,20170607,20170602,227.000000,54.360000,48.210000,,12339.72,0.00,12339.72,10944.32,0.00,0.00,0.00,0.00,0.00,402,0.88692
LU170C,LU1734,SHELTER INVEST - VDK SUSTA.FLEX EUR,EUR,0,PURCH,Purchase on stock market 5.00 989.28 ALPHABET INC -A- LU1734,2974,403,20,973901000000,A14Y6F,US02079K3059,ALPHABET INC -A-,100,USD,99991231,-1,20170602,20170607,20170602,5.000000,989.280000,877.410000,,4946.40,0.00,4946.40,4387.05,0.00,0.00,0.00,0.00,0.00,403,0.88692
